Property,m1,Result
Property_1,0,0
Property_1,1,0
Property_1,2,0
Property_1,3,0
Property_1,4,0
Property_1,5,0
Property_1,6,0
Property_1,7,0
Property_1,8,0
Property_1,9,0
Property_1,10,0
Property_1,11,0
Property_1,12,0
Property_1,13,0
Property_1,14,0
Property_1,15,0
Property_1,16,0
Property_1,17,0
Property_1,18,0
Property_1,19,0
Property_1,20,0
Property_1,21,0
Property_1,22,0
Property_1,23,0
Property_1,24,0.455710385442
Property_1,25,0.455710385442
Property_1,26,0.455710385442
Property_1,27,0.455710385442
Property_1,28,5.29534702523
Property_1,29,5.29534702523
Property_1,30,5.29534702523
Property_1,31,5.29534702523
Property_1,32,17.096498569
Property_1,33,17.096498569
Property_1,34,17.096498569
Property_1,35,17.096498569
Property_1,36,28.4006266672
Property_1,37,28.4006266672
Property_1,38,28.4006266672
Property_1,39,28.4006266672
Property_1,40,39.8105222898
Property_1,41,39.8105222898
Property_1,42,39.8105222898
Property_1,43,39.8105222898
Property_1,44,53.501649739
Property_1,45,53.501649739
Property_1,46,53.501649739
Property_1,47,53.501649739
Property_1,48,63.9595490391
Property_1,49,63.9595490391
Property_1,50,63.9595490391
Property_1,51,63.9595490391
Property_1,52,67.0887118489
Property_1,53,67.0887118489
Property_1,54,67.0887118489
Property_1,55,67.0887118489
Property_1,56,67.4038618086
Property_1,57,67.4038618086
Property_1,58,67.4038618086
Property_1,59,67.4038618086
Property_1,60,67.6648574125
Property_1,61,67.6648574125
Property_1,62,67.6648574125
Property_1,63,67.6648574125
Property_1,64,67.7680843748
Property_1,65,67.7680843748
Property_1,66,67.7680843748
Property_1,67,67.7680843748
Property_1,68,67.7842679233
Property_1,69,67.7842679233
Property_1,70,67.7842679233
Property_1,71,67.7842679233
Property_1,72,67.7867966028
Property_1,73,67.7867966028
Property_1,74,67.7867966028
Property_1,75,67.7867966028
Property_1,76,67.7871917089
Property_1,77,67.7871917089
Property_1,78,67.7871917089
Property_1,79,67.7871917089
Property_1,80,67.7872534443
