Property,m0,m1,m2,Result
Property_1,32,12,-35,0.121758053769
Property_1,32,12,-30,0.121758053769
Property_1,32,12,-25,0.121758053769
Property_1,32,12,-20,0.0105668394103
Property_1,32,12,-15,0
Property_1,32,22,-35,0.772337558047
Property_1,32,22,-30,0.328367468297
Property_1,32,22,-25,0.328367468297
Property_1,32,22,-20,0.0282410679845
Property_1,32,22,-15,0
Property_1,32,32,-35,0.837036879311
Property_1,32,32,-30,0.34846604877
Property_1,32,32,-25,0.34846604877
Property_1,32,32,-20,0.0299603841449
Property_1,32,32,-15,0
Property_1,33,12,-35,0.121758053769
Property_1,33,12,-30,0.121758053769
Property_1,33,12,-25,0.121758053769
Property_1,33,12,-20,0.0105668394103
Property_1,33,12,-15,0
Property_1,33,22,-35,0.772337558047
Property_1,33,22,-30,0.328367468297
Property_1,33,22,-25,0.328367468297
Property_1,33,22,-20,0.0282410679845
Property_1,33,22,-15,0
Property_1,33,32,-35,0.837036879311
Property_1,33,32,-30,0.34846604877
Property_1,33,32,-25,0.34846604877
Property_1,33,32,-20,0.0299603841449
Property_1,33,32,-15,0
Property_1,34,12,-35,0.121758053769
Property_1,34,12,-30,0.121758053769
Property_1,34,12,-25,0.121758053769
Property_1,34,12,-20,0.0105668394103
Property_1,34,12,-15,0
Property_1,34,22,-35,0.772337558047
Property_1,34,22,-30,0.328367468297
Property_1,34,22,-25,0.328367468297
Property_1,34,22,-20,0.0282410679845
Property_1,34,22,-15,0
Property_1,34,32,-35,0.837036879311
Property_1,34,32,-30,0.34846604877
Property_1,34,32,-25,0.34846604877
Property_1,34,32,-20,0.0299603841449
Property_1,34,32,-15,0
Property_1,35,12,-35,0
Property_1,35,12,-30,0
Property_1,35,12,-25,0
Property_1,35,12,-20,0
Property_1,35,12,-15,0
Property_1,35,22,-35,0
Property_1,35,22,-30,0
Property_1,35,22,-25,0
Property_1,35,22,-20,0
Property_1,35,22,-15,0
Property_1,35,32,-35,0
Property_1,35,32,-30,0
Property_1,35,32,-25,0
Property_1,35,32,-20,0
Property_1,35,32,-15,0
Property_1,36,12,-35,0
Property_1,36,12,-30,0
Property_1,36,12,-25,0
Property_1,36,12,-20,0
Property_1,36,12,-15,0
Property_1,36,22,-35,0
Property_1,36,22,-30,0
Property_1,36,22,-25,0
Property_1,36,22,-20,0
Property_1,36,22,-15,0
Property_1,36,32,-35,0
Property_1,36,32,-30,0
Property_1,36,32,-25,0
Property_1,36,32,-20,0
Property_1,36,32,-15,0
