Property,envprob,Result
Property_1,-0.95,0.982336948164
Property_1,-0.9,0.981652403058
Property_1,-0.85,0.980660816019
Property_1,-0.8,0.979370548224
Property_1,-0.75,0.977779118711
Property_1,-0.7,0.975886547436
Property_1,-0.65,0.973690653728
Property_1,-0.6,0.971188519366
Property_1,-0.55,0.968379362426
Property_1,-0.5,0.965260341046
Property_1,-0.45,0.961830044278
Property_1,-0.4,0.958086007383
Property_1,-0.35,0.954027595862
Property_1,-0.3,0.949651247089
Property_1,-0.25,0.944956242143
Property_1,-0.2,0.939940045144
Property_1,-0.15,0.934602012003
Property_1,-0.1,0.928939446721
Property_1,-0.05,0.92295122507
Property_1,1.11022302463e-16,0.916636228581
Property_1,0.05,0.823100345466
Property_1,0.1,0.733872087876
Property_1,0.15,0.649300932415
Property_1,0.2,0.569682104633
Property_1,0.25,0.495256520487
Property_1,0.3,0.426210835996
Property_1,0.35,0.362677835319
Property_1,0.4,0.3047353148
Property_1,0.45,0.252406977595
Property_1,0.5,0.205663094327
Property_1,0.55,0.164419019022
Property_1,0.6,0.128536072002
Property_1,0.65,0.0978218534714
Property_1,0.7,0.0720294080473
Property_1,0.75,0.0508578671602
Property_1,0.8,0.0339522665515
Property_1,0.85,0.0209037137259
Property_1,0.9,0.0112491357106
Property_1,0.95,0.00447156449305
